rank,scene,frame,boundary_reduction
159,abandonedfactory_night-P013,000464,-0.05408
160,abandonedfactory-P010,001258,-0.06206
161,office-P002,000390,-0.07312
162,soulcity-P003,000090,-0.07376
163,abandonedfactory-P011,000150,-0.09043
164,hospital-P010,000148,-0.10622
165,abandonedfactory-P000,000910,-0.11204
166,office-P000,000650,-0.14343
167,gascola-P007,000062,-0.15497
168,abandonedfactory_night-P013,002326,-0.16616
169,neighborhood-P013,001086,-0.18578
170,abandonedfactory_night-P007,001494,-0.20403
171,abandonedfactory_night-P002,000028,-0.20635
172,office-P000,000116,-0.22761
173,office-P002,000486,-0.24811
174,hospital-P035,000042,-0.31236
175,neighborhood-P018,000390,-0.31373
176,seasonsforest-P002,000164,-0.39642
177,neighborhood-P019,000340,-0.39806
178,abandonedfactory-P006,000432,-0.46077
179,abandonedfactory_night-P001,000820,-0.46382
180,seasonsforest_winter-P000,002108,-0.54242
181,ocean-P000,001030,-0.55435
182,ocean-P005,000408,-0.57964
183,neighborhood-P001,001636,-0.77852
184,ocean-P002,000000,-1.03598
185,office2-P009,000356,-1.48234
186,hospital-P017,000020,-1.53788
187,neighborhood-P008,001142,-1.54184
188,ocean-P008,000980,-2.36179
189,ocean-P009,000020,-2.51278
190,office-P002,000096,-2.86853
191,ocean-P000,000848,-3.12444
192,neighborhood-P018,000702,-3.21287
193,office2-P007,000026,-3.63801
194,soulcity-P006,000104,-3.65190
195,gascola-P006,001520,-3.71363
196,office2-P007,000048,-6.25402
197,office-P002,000254,-8.76233
198,soulcity-P001,000202,-8.78241
199,japanesealley-P004,000498,-19.71844
