scene,ours,flow-DUSt3R,flow-MonST3R,flow-D2USt3R
alley_1,0.8092,0.9274,0.9317,0.8876
cave_2,0.9322,0.7175,0.9752,0.8969
market_2,0.6568,0.9633,0.8062,0.4239
market_5,0.6250,0.2170,0.9747,0.5913
ambush_4,0.5710,0.0205,0.9584,0.1333
temple_3,0.5760,0.1788,0.9353,0.8290
