rank,scene,frame,boundary_reduction
154,scene_d78_3rd,01686,+0.00192
155,scene_d78_ego2,01346,+0.00192
156,egobody_3rd,00234,+0.00190
157,scene_d78_ego2,00180,+0.00189
158,egobody_3rd,01104,+0.00179
159,scene_d78_ego1,02640,+0.00176
160,scene_d78_ego1,01286,+0.00174
161,scene_recording_20210910_S05_S06_0_ego1,02166,+0.00162
162,r1_new_,00506,+0.00158
163,egobody_3rd,00340,+0.00158
164,scene_d78_ego1,03182,+0.00151
165,scene_d78_ego2,00852,+0.00148
166,scene_d78_ego2,00808,+0.00146
167,cnb_dlab_0215_ego2,00544,+0.00145
168,scene_recording_20210910_S05_S06_0_ego1,02036,+0.00143
169,scene_recording_20210910_S05_S06_0_ego1,01804,+0.00143
170,scene_d78_ego2,03758,+0.00139
171,scene_d78_ego1,02356,+0.00137
172,scene_d78_ego1,01174,+0.00136
173,ani3_new_,00296,+0.00135
174,ani1_new_,00630,+0.00128
175,scene_d78_3rd,01520,+0.00126
176,ani1_new_,00640,+0.00125
177,ani16_new_,01278,+0.00111
178,scene_d78_ego1,02006,+0.00110
179,scene_recording_20210910_S05_S06_0_ego1,02560,+0.00109
180,ani3_new_,00702,+0.00108
181,scene_d78_ego1,00744,+0.00106
182,scene_d78_3rd,01632,+0.00104
183,scene_d78_ego2,00644,+0.00087
184,scene_d78_ego2,03138,+0.00087
185,scene_recording_20210910_S05_S06_0_ego1,02142,+0.00078
186,scene_recording_20210910_S05_S06_0_ego1,00818,+0.00076
187,scene_recording_20210910_S05_S06_0_ego1,01904,+0.00075
188,ani16_new_,01252,+0.00071
189,r1_new_,00504,+0.00071
190,cnb_dlab_0225_ego2,01050,+0.00070
191,scene_d78_ego2,03388,+0.00070
192,ani1_new_,00682,+0.00068
193,scene_d78_ego2,03526,+0.00059
194,scene_d78_3rd,00924,+0.00058
195,scene_d78_ego1,01538,+0.00056
196,scene_d78_ego1,02336,+0.00051
197,ani1_new_,00796,+0.00048
198,scene_d78_ego2,01612,+0.00048
199,scene_recording_20210910_S05_S06_0_ego1,00530,+0.00048
200,cnb_dlab_0225_ego2,00010,+0.00047
201,egobody_3rd,00254,+0.00045
202,ani14_new_f,00476,+0.00043
203,scene_recording_20210910_S05_S06_0_ego1,00386,+0.00042
204,scene_recording_20210910_S05_S06_0_ego1,00366,+0.00036
205,scene_d78_ego2,03418,+0.00033
206,scene_d78_ego1,02114,+0.00030
207,scene_recording_20210910_S05_S06_0_ego1,00682,+0.00029
208,scene_recording_20210910_S05_S06_0_ego1,00564,+0.00024
209,scene_d78_3rd,01826,+0.00023
210,scene_recording_20210910_S05_S06_0_ego1,00948,+0.00018
211,scene_recording_20210910_S05_S06_0_ego1,00364,+0.00017
212,scene_d78_ego1,03538,+0.00014
213,scene_d78_ego1,00496,+0.00010
214,scene_d78_3rd,01016,+0.00004
215,ani1_new_,01016,+0.00002
216,cnb_dlab_0215_ego2,00886,+0.00002
217,cnb_dlab_0225_ego2,01230,+0.00001
218,scene_recording_20210910_S05_S06_0_ego1,01900,+0.00000
