stream,n_scenes,n_scenes_tierA,FP_model,FP_model_tierA,FP_GT,diff,ratio,ci_lo,ci_hi,p,p_holm,effect,sign_stable,sweep_cells
vggt_point,128,29,0.21839311309694473,0.2307808296779118,0.028173929784045055,0.19021918331289966,7.751602803405194,0.16962365689452158,0.2106994770621884,1.5959464631261575e-21,1.5959464631261575e-21,0.9744094488188977,True,27 measured / 0 unmeasurable
vggt_depth,128,29,0.27793116875489643,0.281524607589081,0.028173929784045055,0.2497572389708514,9.864835004745746,0.22924923648527581,0.26993615190545517,1.9252723655631862e-22,5.775817096689559e-22,0.9927325581395349,True,27 measured / 0 unmeasurable
pi3_local,128,29,0.26958868980213424,0.2478499956061827,0.028173929784045055,0.2414147600180892,9.568728674648815,0.2199066688609538,0.26322297198691813,2.0653290466727555e-22,5.775817096689559e-22,0.9920058139534884,True,27 measured / 0 unmeasurable
