stream,eta,tau,beta,n_scenes,FP_model,FP_GT,diff,ci_lo,ci_hi
pi3_local,0.05,1,0.1,128,0.388532,0.062305,0.326227,0.298903,0.353584
pi3_local,0.05,1,0.2,128,0.270204,0.028174,0.242030,0.220676,0.263682
pi3_local,0.05,1,0.3,128,0.173016,0.013091,0.159925,0.144188,0.176486
pi3_local,0.05,2,0.1,128,0.387567,0.062305,0.325262,0.297802,0.352683
pi3_local,0.05,2,0.2,128,0.269589,0.028174,0.241415,0.219907,0.263223
pi3_local,0.05,2,0.3,128,0.172533,0.013091,0.159442,0.143696,0.176081
pi3_local,0.05,3,0.1,128,0.387261,0.062305,0.324956,0.297451,0.352394
pi3_local,0.05,3,0.2,128,0.269373,0.028174,0.241199,0.219554,0.263104
pi3_local,0.05,3,0.3,128,0.172397,0.013091,0.159306,0.143540,0.175958
pi3_local,0.1,1,0.1,128,0.380500,0.036070,0.344430,0.317125,0.371989
pi3_local,0.1,1,0.2,128,0.255225,0.015979,0.239246,0.219576,0.259422
pi3_local,0.1,1,0.3,128,0.156225,0.007263,0.148962,0.135827,0.162672
pi3_local,0.1,2,0.1,128,0.380105,0.036070,0.344035,0.316789,0.371652
pi3_local,0.1,2,0.2,128,0.254859,0.015979,0.238881,0.219256,0.259119
pi3_local,0.1,2,0.3,128,0.155929,0.007263,0.148666,0.135531,0.162392
pi3_local,0.1,3,0.1,128,0.379656,0.036070,0.343587,0.316388,0.371186
pi3_local,0.1,3,0.2,128,0.254531,0.015979,0.238553,0.218932,0.258768
pi3_local,0.1,3,0.3,128,0.155666,0.007263,0.148403,0.135286,0.162070
