rank,scene,frame,boundary_reduction
148,scene_recording_20210910_S05_S06_0_ego1,02022,-0.00280
149,cnb_dlab_0215_ego2,00720,-0.00281
150,cnb_dlab_0215_ego2,02736,-0.00295
151,scene_d78_3rd,01342,-0.00297
152,scene_d78_3rd,02238,-0.00300
153,cnb_dlab_0215_ego2,00562,-0.00312
154,scene_d78_ego2,02810,-0.00349
155,r1_new_f,00944,-0.00366
156,cnb_dlab_0225_ego2,00316,-0.00374
157,scene_d78_3rd,02488,-0.00377
158,cnb_dlab_0225_ego2,01668,-0.00384
159,r1_new_,00538,-0.00425
160,scene_recording_20210910_S05_S06_0_ego1,02752,-0.00443
161,scene_d78_3rd,03322,-0.00469
162,cnb_dlab_0215_ego2,01828,-0.00500
163,cnb_dlab_0215_ego2,00126,-0.00527
164,ani10_new_f,00190,-0.00529
165,scene_recording_20210910_S05_S06_0_ego1,02238,-0.00583
166,r1_new_,00406,-0.00681
167,ani1_new_,00580,-0.00727
168,cnb_dlab_0215_ego2,03114,-0.00748
169,cnb_dlab_0215_ego2,02072,-0.00753
170,scene_d78_ego2,03768,-0.00771
171,ani16_new_,00946,-0.00784
172,cnb_dlab_0215_ego2,01014,-0.00793
173,cnb_dlab_0215_ego2,01122,-0.00861
174,r1_new_,00188,-0.00862
175,cnb_dlab_0215_ego2,01764,-0.00893
176,cnb_dlab_0215_ego2,01060,-0.00978
177,scene_d78_ego2,00538,-0.01037
178,ani3_new_,00438,-0.01083
179,scene_d78_ego2,01098,-0.01107
180,scene_d78_3rd,02444,-0.01165
181,cnb_dlab_0215_ego2,02850,-0.01267
182,ani10_new_f,00406,-0.01295
183,cnb_dlab_0215_ego2,02010,-0.01321
184,ani16_new_,00578,-0.01378
185,cnb_dlab_0215_ego2,01144,-0.01469
186,r1_new_,00966,-0.01482
187,cnb_dlab_0215_ego2,01256,-0.01559
188,cnb_dlab_0215_ego2,02216,-0.01707
189,ani10_new_f,00388,-0.01901
190,cnb_dlab_0215_ego2,00200,-0.01948
191,ani10_new_f,00332,-0.02251
192,scene_d78_ego2,02104,-0.02309
193,ani3_new_,01874,-0.02457
194,ani3_new_,01580,-0.02462
195,ani3_new_,01890,-0.02622
196,scene_d78_3rd,03576,-0.03596
197,ani3_new_,01376,-0.04105
198,ani14_new_f,00528,-0.10892
199,ani1_new_f,01238,-0.12027
